sn,resp_id,agri_inc,off_farm_inc,tot_hh_inc,usd,area_cropped,hh_size,hh_lab,opp_cost_est,site,dist,age,education,PC1,PC2,tlu,teviala1,rice_proj,redd
52,AMB049,940000,150000,1090000,403,17531,3,3,2782,Zahamena,2.051,4,0,1.435793378,-1.16555948,0.03,-1749,1505,"Established PA
(Zahamena)"
53,AMB055,136500,3096000,3232500,1196,4763,5,3,338,Zahamena,2.499,1.7,0,0.176613275,-0.762749487,0.02,-36,1138,"Established PA
(Zahamena)"
54,AMB057,650125,102000,752125,278,21948,6,2,4460,Zahamena,2.255,0.8,0,0.301140325,-0.792093352,0.02,-3950,1521,"Established PA
(Zahamena)"
55,AMB059,459250,244000,703250,260,15969,4,2,2122,Zahamena,2.27,0.7,0,1.821011013,2.188291693,3.25,3705,2834,"Established PA
(Zahamena)"
56,AMB060,528000,250000,778000,287,22432,8,3,2649,Zahamena,2.294,1.4,0,0.622153434,1.352950374,1.04,1002,3335,"Established PA
(Zahamena)"
57,AMB061,212250,306000,518250,191,7290,4,4,837,Zahamena,2.477,2.5,0,0.511599594,-0.418818591,0.04,-1568,1481,"Established PA
(Zahamena)"
58,AMB064,564750,130000,694750,257,15510,3,2,0,Zahamena,2.277,0.3,1,1.371893768,1.417233884,0.27,5777,3601,"Established PA
(Zahamena)"
59,AMB067,478800,52000,530800,196,21052,6,2,4091,Zahamena,2.5,0.9,0,0.021519588,-0.072952031,0.05,-1664,1230,"Established PA
(Zahamena)"
60,AMB079,1652000,0,1652000,611,17932,5,2,3752,Zahamena,2.429,0.8,0,-0.076625311,0.167402098,0.09,-2022,1632,"Established PA
(Zahamena)"
61,AMB083,253000,97000,350000,129,11101,6,2,5898,Zahamena,2.347,0.7,0,0.515813686,-0.408156705,0.07,-2063,2013,"Established PA
(Zahamena)"
62,AMB085,806950,225000,1031950,381,12937,5,2,2164,Zahamena,2.287,0.6,0,0.644861931,-0.57032367,0.25,-2272,1213,"Established PA
(Zahamena)"
63,SAH002,499000,8400,507400,187,15943,8,3,13633,Sahavazina,3.113,1.8,0,-0.620954767,0.121774938,0.04,-3421,3996,"REDD+ project
without safeguard"
64,SAH005,176000,352000,528000,195,1828,2,2,896,Sahavazina,2.372,3,0,-0.498477147,-0.447127054,0,1452,4451,"REDD+ project
without safeguard"
65,SAH006,125250,94000,219250,81,7417,2,2,16364,Sahavazina,2.811,1.8,0,0.138630977,1.155149098,0.01,-7450,2877,"REDD+ project
without safeguard"
66,SAH008,249550,423000,672550,248,7384,6,3,1790,Sahavazina,3.076,1.3,0,-1.252964406,-0.328334851,0.04,-3371,3968,"REDD+ project
without safeguard"
67,SAH009,1091525,0,1091525,403,8852,4,2,93,Sahavazina,2.929,1.8,0,0.095489858,1.935725853,0.05,3914,3791,"REDD+ project
without safeguard"
68,SAH013,192725,0,192725,71,4873,3,2,2402,Sahavazina,4.218,0.2,0,-0.201092026,0.181901429,0.03,2961,3728,"REDD+ project
without safeguard"
69,SAH014,980375,0,980375,362,11592,5,2,30,Sahavazina,4.458,3.1,1,-1.356128105,1.405962279,0.2,-2060,4429,"REDD+ project
without safeguard"
70,SAH021,400300,0,400300,148,38817,6,2,59,Sahavazina,6.616,1.2,0,-0.766411977,0.278192458,0.7,1944,2387,"REDD+ project
without safeguard"
71,SAH023,739500,298000,1037500,383,14464,4,2,907,Sahavazina,6.665,0.4,0,-0.255942123,0.798472157,0.03,6384,2272,"REDD+ project
without safeguard"
72,SAH024,1218750,192000,1410750,522,14566,4,2,145,Sahavazina,6.599,0.4,1,0.918035355,1.25865773,0.06,93,4906,"REDD+ project
without safeguard"
73,SAH027,122000,0,122000,45,7549,2,1,10065,Sahavazina,6.62,0.6,0,-0.04488111,-0.150784928,0.79,-9189,2566,"REDD+ project
without safeguard"
74,SAH029,920900,200000,1120900,414,18127,2,2,49,Sahavazina,6.608,1.1,0,2.116617057,0.144769702,0.2,-2229,2726,"REDD+ project
without safeguard"
75,SAH033,89250,384000,473250,175,2719,2,2,33,Sahavazina,6.652,0.8,0,-0.878769247,0.518415046,0.03,-1948,2517,"REDD+ project
without safeguard"
76,SAH035,802750,48000,850750,314,9565,4,2,60,Sahavazina,6.633,0.2,0,1.081771245,1.732132867,0.03,2199,1932,"REDD+ project
without safeguard"
77,SAH039,1282250,0,1282250,474,17262,6,2,112,Sahavazina,6.654,0.9,0,2.498100101,0.497904436,0.09,-828,3394,"REDD+ project
without safeguard"
